"year","region","cancer","race","rateType","rate"
2015,0,"Uterine Cancer","Native American","mortalityRate",NA
2015,0,"Uterine Cancer","Asian","incidenceRate",NA
2015,0,"Uterine Cancer","Asian","mortalityRate",NA
2015,0,"Uterine Cancer","Black","incidenceRate",NA
2015,0,"Uterine Cancer","Black","mortalityRate",NA
2015,0,"Uterine Cancer","Hispanic","incidenceRate",NA
2015,0,"Uterine Cancer","Hispanic","mortalityRate",NA
2015,0,"Uterine Cancer","White","incidenceRate",NA
2015,0,"Uterine Cancer","White","mortalityRate",NA
2015,0,"Esophageal Cancer","All Races","incidenceRate",NA
2015,0,"Esophageal Cancer","All Races","mortalityRate",NA
2015,0,"Esophageal Cancer","Native American","incidenceRate",NA
2015,0,"Esophageal Cancer","Native American","mortalityRate",NA
2015,0,"Esophageal Cancer","Asian","incidenceRate",NA
2015,0,"Esophageal Cancer","Asian","mortalityRate",NA
2015,0,"Esophageal Cancer","Black","incidenceRate",NA
2015,0,"Esophageal Cancer","Black","mortalityRate",NA
2015,0,"Esophageal Cancer","Hispanic","incidenceRate",NA
2015,0,"Esophageal Cancer","Hispanic","mortalityRate",NA
2015,0,"Esophageal Cancer","White","incidenceRate",NA
2015,0,"Esophageal Cancer","White","mortalityRate",NA
2015,0,"Female Breast Cancer","All Races","incidenceRate",NA
2015,0,"Female Breast Cancer","All Races","mortalityRate",NA
2015,0,"Female Breast Cancer","Native American","incidenceRate",NA
2015,0,"Female Breast Cancer","Native American","mortalityRate",NA
2015,0,"Female Breast Cancer","Asian","incidenceRate",NA
2015,0,"Female Breast Cancer","Asian","mortalityRate",NA
2015,0,"Female Breast Cancer","Black","incidenceRate",NA
2015,0,"Female Breast Cancer","Black","mortalityRate",NA
2015,0,"Female Breast Cancer","Hispanic","incidenceRate",NA
2015,0,"Female Breast Cancer","Hispanic","mortalityRate",NA
2015,0,"Female Breast Cancer","White","incidenceRate",NA
2015,0,"Female Breast Cancer","White","mortalityRate",NA
2015,0,"Hodgkin Lymphoma","All Races","incidenceRate",NA
2015,0,"Hodgkin Lymphoma","All Races","mortalityRate",NA
2015,0,"Hodgkin Lymphoma","Native American","incidenceRate",NA
2015,0,"Hodgkin Lymphoma","Native American","mortalityRate",NA
2015,0,"Hodgkin Lymphoma","Asian","incidenceRate",NA
2015,0,"Hodgkin Lymphoma","Asian","mortalityRate",NA
2015,0,"Hodgkin Lymphoma","Black","incidenceRate",NA
2015,0,"Hodgkin Lymphoma","Black","mortalityRate",NA
2015,0,"Hodgkin Lymphoma","Hispanic","incidenceRate",NA
2015,0,"Hodgkin Lymphoma","Hispanic","mortalityRate",NA
2015,0,"Hodgkin Lymphoma","White","incidenceRate",NA
2015,0,"Hodgkin Lymphoma","White","mortalityRate",NA
2015,0,"Kaposi Sarcoma","All Races","incidenceRate",NA
2015,0,"Kaposi Sarcoma","All Races","mortalityRate",NA
2015,0,"Kaposi Sarcoma","Native American","incidenceRate",NA
2015,0,"Kaposi Sarcoma","Native American","mortalityRate",NA
2015,0,"Kaposi Sarcoma","Asian","incidenceRate",NA
2015,0,"Kaposi Sarcoma","Asian","mortalityRate",NA
2015,0,"Kaposi Sarcoma","Black","incidenceRate",NA
2015,0,"Kaposi Sarcoma","Black","mortalityRate",NA
2015,0,"Kaposi Sarcoma","Hispanic","incidenceRate",NA
2015,0,"Kaposi Sarcoma","Hispanic","mortalityRate",NA
2015,0,"Kaposi Sarcoma","White","incidenceRate",NA
2015,0,"Kaposi Sarcoma","White","mortalityRate",NA
2015,0,"Kidney Cancer","All Races","incidenceRate",NA
2015,0,"Kidney Cancer","All Races","mortalityRate",NA
2015,0,"Kidney Cancer","Native American","incidenceRate",NA
2015,0,"Kidney Cancer","Native American","mortalityRate",NA
2015,0,"Kidney Cancer","Asian","incidenceRate",NA
2015,0,"Kidney Cancer","Asian","mortalityRate",NA
2015,0,"Kidney Cancer","Black","incidenceRate",NA
2015,0,"Kidney Cancer","Black","mortalityRate",NA
2015,0,"Kidney Cancer","Hispanic","incidenceRate",NA
2015,0,"Kidney Cancer","Hispanic","mortalityRate",NA
2015,0,"Kidney Cancer","White","incidenceRate",NA
2015,0,"Kidney Cancer","White","mortalityRate",NA
2015,0,"Laryngeal Cancer","All Races","incidenceRate",NA
2015,0,"Laryngeal Cancer","All Races","mortalityRate",NA
2015,0,"Laryngeal Cancer","Native American","incidenceRate",NA
2015,0,"Laryngeal Cancer","Native American","mortalityRate",NA
2015,0,"Laryngeal Cancer","Asian","incidenceRate",NA
2015,0,"Laryngeal Cancer","Asian","mortalityRate",NA
2015,0,"Laryngeal Cancer","Black","incidenceRate",NA
2015,0,"Laryngeal Cancer","Black","mortalityRate",NA
2015,0,"Laryngeal Cancer","Hispanic","incidenceRate",NA
2015,0,"Laryngeal Cancer","Hispanic","mortalityRate",NA
2015,0,"Laryngeal Cancer","White","incidenceRate",NA
2015,0,"Laryngeal Cancer","White","mortalityRate",NA
2015,0,"Leukemia","All Races","incidenceRate",NA
2015,0,"Leukemia","All Races","mortalityRate",NA
2015,0,"Leukemia","Native American","incidenceRate",NA
2015,0,"Leukemia","Native American","mortalityRate",NA
2015,0,"Leukemia","Asian","incidenceRate",NA
2015,0,"Leukemia","Asian","mortalityRate",NA
2015,0,"Leukemia","Black","incidenceRate",NA
2015,0,"Leukemia","Black","mortalityRate",NA
2015,0,"Leukemia","Hispanic","incidenceRate",NA
2015,0,"Leukemia","Hispanic","mortalityRate",NA
2015,0,"Leukemia","White","incidenceRate",NA
2015,0,"Leukemia","White","mortalityRate",NA
2015,0,"Liver Cancer","All Races","incidenceRate",NA
2015,0,"Liver Cancer","All Races","mortalityRate",NA
2015,0,"Liver Cancer","Native American","incidenceRate",NA
2015,0,"Liver Cancer","Native American","mortalityRate",NA
2015,0,"Liver Cancer","Asian","incidenceRate",NA
2015,0,"Liver Cancer","Asian","mortalityRate",NA
2015,0,"Liver Cancer","Black","incidenceRate",NA
2015,0,"Liver Cancer","Black","mortalityRate",NA
2015,0,"Liver Cancer","Hispanic","incidenceRate",NA
2015,0,"Liver Cancer","Hispanic","mortalityRate",NA
2015,0,"Liver Cancer","White","incidenceRate",NA
2015,0,"Liver Cancer","White","mortalityRate",NA
2015,0,"Lung Cancer","All Races","incidenceRate",NA
2015,0,"Lung Cancer","All Races","mortalityRate",NA
2015,0,"Lung Cancer","Native American","incidenceRate",NA
2015,0,"Lung Cancer","Native American","mortalityRate",NA
2015,0,"Lung Cancer","Asian","incidenceRate",NA
2015,0,"Lung Cancer","Asian","mortalityRate",NA
2015,0,"Lung Cancer","Black","incidenceRate",NA
2015,0,"Lung Cancer","Black","mortalityRate",NA
2015,0,"Lung Cancer","Hispanic","incidenceRate",NA
2015,0,"Lung Cancer","Hispanic","mortalityRate",NA
2015,0,"Lung Cancer","White","incidenceRate",NA
2015,0,"Lung Cancer","White","mortalityRate",NA
2015,0,"Melanoma","All Races","incidenceRate",NA
2015,0,"Melanoma","All Races","mortalityRate",NA
2015,0,"Melanoma","Native American","incidenceRate",NA
2015,0,"Melanoma","Native American","mortalityRate",NA
2015,0,"Melanoma","Asian","incidenceRate",NA
2015,0,"Melanoma","Asian","mortalityRate",NA
2015,0,"Melanoma","Black","incidenceRate",NA
2015,0,"Melanoma","Black","mortalityRate",NA
2015,0,"Melanoma","Hispanic","incidenceRate",NA
2015,0,"Melanoma","Hispanic","mortalityRate",NA
2015,0,"Melanoma","White","incidenceRate",NA
2015,0,"Melanoma","White","mortalityRate",NA
2015,0,"Mesothelioma","All Races","incidenceRate",NA
2015,0,"Mesothelioma","All Races","mortalityRate",NA
2015,0,"Mesothelioma","Native American","incidenceRate",NA
2015,0,"Mesothelioma","Native American","mortalityRate",NA
2015,0,"Mesothelioma","Asian","incidenceRate",NA
2015,0,"Mesothelioma","Asian","mortalityRate",NA
2015,0,"Mesothelioma","Black","incidenceRate",NA
2015,0,"Mesothelioma","Black","mortalityRate",NA
2015,0,"Mesothelioma","Hispanic","incidenceRate",NA
2015,0,"Mesothelioma","Hispanic","mortalityRate",NA
2015,0,"Mesothelioma","White","incidenceRate",NA
2015,0,"Mesothelioma","White","mortalityRate",NA
2015,0,"Myeloma","All Races","incidenceRate",NA
2015,0,"Myeloma","All Races","mortalityRate",NA
2015,0,"Myeloma","Native American","incidenceRate",NA
2015,0,"Myeloma","Native American","mortalityRate",NA
2015,0,"Myeloma","Asian","incidenceRate",NA
2015,0,"Myeloma","Asian","mortalityRate",NA
2015,0,"Myeloma","Black","incidenceRate",NA
2015,0,"Myeloma","Black","mortalityRate",NA
2015,0,"Myeloma","Hispanic","incidenceRate",NA
2015,0,"Myeloma","Hispanic","mortalityRate",NA
2015,0,"Myeloma","White","incidenceRate",NA
2015,0,"Myeloma","White","mortalityRate",NA
2015,0,"Non-Hodgkin Lymphoma","All Races","incidenceRate",NA
2015,0,"Non-Hodgkin Lymphoma","All Races","mortalityRate",NA
2015,0,"Non-Hodgkin Lymphoma","Native American","incidenceRate",NA
2015,0,"Non-Hodgkin Lymphoma","Native American","mortalityRate",NA
2015,0,"Non-Hodgkin Lymphoma","Asian","incidenceRate",NA
2015,0,"Non-Hodgkin Lymphoma","Asian","mortalityRate",NA
2015,0,"Non-Hodgkin Lymphoma","Black","incidenceRate",NA
2015,0,"Non-Hodgkin Lymphoma","Black","mortalityRate",NA
2015,0,"Non-Hodgkin Lymphoma","Hispanic","incidenceRate",NA
2015,0,"Non-Hodgkin Lymphoma","Hispanic","mortalityRate",NA
2015,0,"Non-Hodgkin Lymphoma","White","incidenceRate",NA
2015,0,"Non-Hodgkin Lymphoma","White","mortalityRate",NA
2015,0,"Oral Cancer","All Races","incidenceRate",NA
2015,0,"Oral Cancer","All Races","mortalityRate",NA
2015,0,"Oral Cancer","Native American","incidenceRate",NA
2015,0,"Oral Cancer","Native American","mortalityRate",NA
2015,0,"Oral Cancer","Asian","incidenceRate",NA
2015,0,"Oral Cancer","Asian","mortalityRate",NA
2015,0,"Oral Cancer","Black","incidenceRate",NA
2015,0,"Oral Cancer","Black","mortalityRate",NA
2015,0,"Oral Cancer","Hispanic","incidenceRate",NA
2015,0,"Oral Cancer","Hispanic","mortalityRate",NA
2015,0,"Oral Cancer","White","incidenceRate",NA
2015,0,"Oral Cancer","White","mortalityRate",NA
2015,0,"Ovarian Cancer","All Races","incidenceRate",NA
2015,0,"Ovarian Cancer","All Races","mortalityRate",NA
2015,0,"Ovarian Cancer","Native American","incidenceRate",NA
2015,0,"Ovarian Cancer","Native American","mortalityRate",NA
2015,0,"Ovarian Cancer","Asian","incidenceRate",NA
2015,0,"Ovarian Cancer","Asian","mortalityRate",NA
2015,0,"Ovarian Cancer","Black","incidenceRate",NA
2015,0,"Ovarian Cancer","Black","mortalityRate",NA
2015,0,"Ovarian Cancer","Hispanic","incidenceRate",NA
2015,0,"Ovarian Cancer","Hispanic","mortalityRate",NA
2015,0,"Ovarian Cancer","White","incidenceRate",NA
2015,0,"Ovarian Cancer","White","mortalityRate",NA
2015,0,"Pancreatic Cancer","All Races","incidenceRate",NA
2015,0,"Pancreatic Cancer","All Races","mortalityRate",NA
2015,0,"Pancreatic Cancer","Native American","incidenceRate",NA
2015,0,"Pancreatic Cancer","Native American","mortalityRate",NA
2015,0,"Pancreatic Cancer","Asian","incidenceRate",NA
2015,0,"Pancreatic Cancer","Asian","mortalityRate",NA
2015,0,"Pancreatic Cancer","Black","incidenceRate",NA
2015,0,"Pancreatic Cancer","Black","mortalityRate",NA
2015,0,"Pancreatic Cancer","Hispanic","incidenceRate",NA
2015,0,"Pancreatic Cancer","Hispanic","mortalityRate",NA
2015,0,"Pancreatic Cancer","White","incidenceRate",NA
2015,0,"Pancreatic Cancer","White","mortalityRate",NA
2015,0,"Stomach Cancer","All Races","incidenceRate",NA
2015,0,"Stomach Cancer","All Races","mortalityRate",NA
2015,0,"Stomach Cancer","Native American","incidenceRate",NA
2015,0,"Stomach Cancer","Native American","mortalityRate",NA
2015,0,"Stomach Cancer","Asian","incidenceRate",NA
2015,0,"Stomach Cancer","Asian","mortalityRate",NA
2015,0,"Stomach Cancer","Black","incidenceRate",NA
2015,0,"Stomach Cancer","Black","mortalityRate",NA
2015,0,"Stomach Cancer","Hispanic","incidenceRate",NA
2015,0,"Stomach Cancer","Hispanic","mortalityRate",NA
2015,0,"Stomach Cancer","White","incidenceRate",NA
2015,0,"Stomach Cancer","White","mortalityRate",NA
2015,0,"Thyroid Cancer","All Races","incidenceRate",NA
2015,0,"Thyroid Cancer","All Races","mortalityRate",NA
2015,0,"Thyroid Cancer","Native American","incidenceRate",NA
2015,0,"Thyroid Cancer","Native American","mortalityRate",NA
2015,0,"Thyroid Cancer","Asian","incidenceRate",NA
2015,0,"Thyroid Cancer","Asian","mortalityRate",NA
2015,0,"Thyroid Cancer","Black","incidenceRate",NA
2015,0,"Thyroid Cancer","Black","mortalityRate",NA
2015,0,"Thyroid Cancer","Hispanic","incidenceRate",NA
2015,0,"Thyroid Cancer","Hispanic","mortalityRate",NA
2015,0,"Thyroid Cancer","White","incidenceRate",NA
2015,0,"Thyroid Cancer","White","mortalityRate",NA
2015,0,"Bladder Cancer","All Races","incidenceRate",NA
2015,0,"Bladder Cancer","All Races","mortalityRate",NA
2015,0,"Bladder Cancer","Native American","incidenceRate",NA
2015,0,"Bladder Cancer","Native American","mortalityRate",NA
2015,0,"Bladder Cancer","Asian","incidenceRate",NA
2015,0,"Bladder Cancer","Asian","mortalityRate",NA
2015,0,"Bladder Cancer","Black","incidenceRate",NA
2015,0,"Bladder Cancer","Black","mortalityRate",NA
2015,0,"Bladder Cancer","Hispanic","incidenceRate",NA
2015,0,"Bladder Cancer","Hispanic","mortalityRate",NA
2015,0,"Bladder Cancer","White","incidenceRate",NA
2015,0,"Bladder Cancer","White","mortalityRate",NA
2015,0,"Male Breast Cancer","All Races","incidenceRate",NA
2015,0,"Male Breast Cancer","All Races","mortalityRate",NA
2015,0,"Male Breast Cancer","Native American","incidenceRate",NA
2015,0,"Male Breast Cancer","Native American","mortalityRate",NA
2015,0,"Male Breast Cancer","Asian","incidenceRate",NA
2015,0,"Male Breast Cancer","Asian","mortalityRate",NA
2015,0,"Male Breast Cancer","Black","incidenceRate",NA
2015,0,"Male Breast Cancer","Black","mortalityRate",NA
2015,0,"Male Breast Cancer","Hispanic","incidenceRate",NA
2015,0,"Male Breast Cancer","Hispanic","mortalityRate",NA
2015,0,"Male Breast Cancer","White","incidenceRate",NA
2015,0,"Male Breast Cancer","White","mortalityRate",NA
2015,0,"Prostate Cancer","All Races","incidenceRate",NA
2015,0,"Prostate Cancer","All Races","mortalityRate",NA
2015,0,"Prostate Cancer","Native American","incidenceRate",NA
2015,0,"Prostate Cancer","Native American","mortalityRate",NA
2015,0,"Prostate Cancer","Asian","incidenceRate",NA
2015,0,"Prostate Cancer","Asian","mortalityRate",NA
2015,0,"Prostate Cancer","Black","incidenceRate",NA
2015,0,"Prostate Cancer","Black","mortalityRate",NA
2015,0,"Prostate Cancer","Hispanic","incidenceRate",NA
2015,0,"Prostate Cancer","Hispanic","mortalityRate",NA
2015,0,"Prostate Cancer","White","incidenceRate",NA
2015,0,"Prostate Cancer","White","mortalityRate",NA
2015,0,"Testicular Cancer","All Races","incidenceRate",NA
2015,0,"Testicular Cancer","All Races","mortalityRate",NA
2015,0,"Testicular Cancer","Native American","incidenceRate",NA
2015,0,"Testicular Cancer","Native American","mortalityRate",NA
2015,0,"Testicular Cancer","Asian","incidenceRate",NA
2015,0,"Testicular Cancer","Asian","mortalityRate",NA
2015,0,"Testicular Cancer","Black","incidenceRate",NA
2015,0,"Testicular Cancer","Black","mortalityRate",NA
2015,0,"Testicular Cancer","Hispanic","incidenceRate",NA
2015,0,"Testicular Cancer","Hispanic","mortalityRate",NA
2015,0,"Testicular Cancer","White","incidenceRate",NA
2015,0,"Testicular Cancer","White","mortalityRate",NA
2015,1,"All Cancers","All Races","incidenceRate",NA
2015,1,"All Cancers","All Races","mortalityRate",NA
2015,1,"All Cancers","Native American","incidenceRate",NA
2015,1,"All Cancers","Native American","mortalityRate",NA
2015,1,"All Cancers","Asian","incidenceRate",NA
2015,1,"All Cancers","Asian","mortalityRate",NA
2015,1,"All Cancers","Black","incidenceRate",NA
2015,1,"All Cancers","Black","mortalityRate",NA
2015,1,"All Cancers","Hispanic","incidenceRate",NA
2015,1,"All Cancers","Hispanic","mortalityRate",NA
2015,1,"All Cancers","White","incidenceRate",NA
2015,1,"All Cancers","White","mortalityRate",NA
2015,1,"Brain Cancer","All Races","incidenceRate",NA
2015,1,"Brain Cancer","All Races","mortalityRate",NA
2015,1,"Brain Cancer","Native American","incidenceRate",NA
2015,1,"Brain Cancer","Native American","mortalityRate",NA
2015,1,"Brain Cancer","Asian","incidenceRate",NA
2015,1,"Brain Cancer","Asian","mortalityRate",NA
2015,1,"Brain Cancer","Black","incidenceRate",NA
2015,1,"Brain Cancer","Black","mortalityRate",NA
2015,1,"Brain Cancer","Hispanic","incidenceRate",NA
2015,1,"Brain Cancer","Hispanic","mortalityRate",NA
2015,1,"Brain Cancer","White","incidenceRate",NA
2015,1,"Brain Cancer","White","mortalityRate",NA
2015,1,"Cervical Cancer","All Races","incidenceRate",NA
2015,1,"Cervical Cancer","All Races","mortalityRate",NA
2015,1,"Cervical Cancer","Native American","incidenceRate",NA
2015,1,"Cervical Cancer","Native American","mortalityRate",NA
2015,1,"Cervical Cancer","Asian","incidenceRate",NA
2015,1,"Cervical Cancer","Asian","mortalityRate",NA
2015,1,"Cervical Cancer","Black","incidenceRate",NA
2015,1,"Cervical Cancer","Black","mortalityRate",NA
2015,1,"Cervical Cancer","Hispanic","incidenceRate",NA
2015,1,"Cervical Cancer","Hispanic","mortalityRate",NA
2015,1,"Cervical Cancer","White","incidenceRate",NA
2015,1,"Cervical Cancer","White","mortalityRate",NA
2015,1,"Colorectal Cancer","All Races","incidenceRate",NA
2015,1,"Colorectal Cancer","All Races","mortalityRate",NA
2015,1,"Colorectal Cancer","Native American","incidenceRate",NA
2015,1,"Colorectal Cancer","Native American","mortalityRate",NA
2015,1,"Colorectal Cancer","Asian","incidenceRate",NA
2015,1,"Colorectal Cancer","Asian","mortalityRate",NA
2015,1,"Colorectal Cancer","Black","incidenceRate",NA
2015,1,"Colorectal Cancer","Black","mortalityRate",NA
2015,1,"Colorectal Cancer","Hispanic","incidenceRate",NA
2015,1,"Colorectal Cancer","Hispanic","mortalityRate",NA
2015,1,"Colorectal Cancer","White","incidenceRate",NA
2015,1,"Colorectal Cancer","White","mortalityRate",NA
2015,1,"Uterine Cancer","All Races","incidenceRate",NA
2015,1,"Uterine Cancer","All Races","mortalityRate",NA
2015,1,"Uterine Cancer","Native American","incidenceRate",NA
2015,1,"Uterine Cancer","Native American","mortalityRate",NA
2015,1,"Uterine Cancer","Asian","incidenceRate",NA
2015,1,"Uterine Cancer","Asian","mortalityRate",NA
2015,1,"Uterine Cancer","Black","incidenceRate",NA
2015,1,"Uterine Cancer","Black","mortalityRate",NA
2015,1,"Uterine Cancer","Hispanic","incidenceRate",NA
2015,1,"Uterine Cancer","Hispanic","mortalityRate",NA
2015,1,"Uterine Cancer","White","incidenceRate",NA
2015,1,"Uterine Cancer","White","mortalityRate",NA
2015,1,"Esophageal Cancer","All Races","incidenceRate",NA
2015,1,"Esophageal Cancer","All Races","mortalityRate",NA
2015,1,"Esophageal Cancer","Native American","incidenceRate",NA
2015,1,"Esophageal Cancer","Native American","mortalityRate",NA
2015,1,"Esophageal Cancer","Asian","incidenceRate",NA
2015,1,"Esophageal Cancer","Asian","mortalityRate",NA
2015,1,"Esophageal Cancer","Black","incidenceRate",NA
2015,1,"Esophageal Cancer","Black","mortalityRate",NA
2015,1,"Esophageal Cancer","Hispanic","incidenceRate",NA
2015,1,"Esophageal Cancer","Hispanic","mortalityRate",NA
2015,1,"Esophageal Cancer","White","incidenceRate",NA
2015,1,"Esophageal Cancer","White","mortalityRate",NA
2015,1,"Female Breast Cancer","All Races","incidenceRate",NA
2015,1,"Female Breast Cancer","All Races","mortalityRate",NA
2015,1,"Female Breast Cancer","Native American","incidenceRate",NA
2015,1,"Female Breast Cancer","Native American","mortalityRate",NA
2015,1,"Female Breast Cancer","Asian","incidenceRate",NA
2015,1,"Female Breast Cancer","Asian","mortalityRate",NA
2015,1,"Female Breast Cancer","Black","incidenceRate",NA
2015,1,"Female Breast Cancer","Black","mortalityRate",NA
2015,1,"Female Breast Cancer","Hispanic","incidenceRate",NA
2015,1,"Female Breast Cancer","Hispanic","mortalityRate",NA
2015,1,"Female Breast Cancer","White","incidenceRate",NA
2015,1,"Female Breast Cancer","White","mortalityRate",NA
2015,1,"Hodgkin Lymphoma","All Races","incidenceRate",NA
2015,1,"Hodgkin Lymphoma","All Races","mortalityRate",NA
2015,1,"Hodgkin Lymphoma","Native American","incidenceRate",NA
2015,1,"Hodgkin Lymphoma","Native American","mortalityRate",NA
2015,1,"Hodgkin Lymphoma","Asian","incidenceRate",NA
2015,1,"Hodgkin Lymphoma","Asian","mortalityRate",NA
2015,1,"Hodgkin Lymphoma","Black","incidenceRate",NA
2015,1,"Hodgkin Lymphoma","Black","mortalityRate",NA
2015,1,"Hodgkin Lymphoma","Hispanic","incidenceRate",NA
2015,1,"Hodgkin Lymphoma","Hispanic","mortalityRate",NA
2015,1,"Hodgkin Lymphoma","White","incidenceRate",NA
2015,1,"Hodgkin Lymphoma","White","mortalityRate",NA
2015,1,"Kaposi Sarcoma","All Races","incidenceRate",NA
2015,1,"Kaposi Sarcoma","All Races","mortalityRate",NA
2015,1,"Kaposi Sarcoma","Native American","incidenceRate",NA
2015,1,"Kaposi Sarcoma","Native American","mortalityRate",NA
2015,1,"Kaposi Sarcoma","Asian","incidenceRate",NA
2015,1,"Kaposi Sarcoma","Asian","mortalityRate",NA
2015,1,"Kaposi Sarcoma","Black","incidenceRate",NA
2015,1,"Kaposi Sarcoma","Black","mortalityRate",NA
2015,1,"Kaposi Sarcoma","Hispanic","incidenceRate",NA
2015,1,"Kaposi Sarcoma","Hispanic","mortalityRate",NA
2015,1,"Kaposi Sarcoma","White","incidenceRate",NA
2015,1,"Kaposi Sarcoma","White","mortalityRate",NA
2015,1,"Kidney Cancer","All Races","incidenceRate",NA
2015,1,"Kidney Cancer","All Races","mortalityRate",NA
2015,1,"Kidney Cancer","Native American","incidenceRate",NA
2015,1,"Kidney Cancer","Native American","mortalityRate",NA
2015,1,"Kidney Cancer","Asian","incidenceRate",NA
2015,1,"Kidney Cancer","Asian","mortalityRate",NA
2015,1,"Kidney Cancer","Black","incidenceRate",NA
2015,1,"Kidney Cancer","Black","mortalityRate",NA
2015,1,"Kidney Cancer","Hispanic","incidenceRate",NA
2015,1,"Kidney Cancer","Hispanic","mortalityRate",NA
2015,1,"Kidney Cancer","White","incidenceRate",NA
2015,1,"Kidney Cancer","White","mortalityRate",NA
2015,1,"Laryngeal Cancer","All Races","incidenceRate",NA
2015,1,"Laryngeal Cancer","All Races","mortalityRate",NA
2015,1,"Laryngeal Cancer","Native American","incidenceRate",NA
2015,1,"Laryngeal Cancer","Native American","mortalityRate",NA
2015,1,"Laryngeal Cancer","Asian","incidenceRate",NA
2015,1,"Laryngeal Cancer","Asian","mortalityRate",NA
2015,1,"Laryngeal Cancer","Black","incidenceRate",NA
2015,1,"Laryngeal Cancer","Black","mortalityRate",NA
2015,1,"Laryngeal Cancer","Hispanic","incidenceRate",NA
2015,1,"Laryngeal Cancer","Hispanic","mortalityRate",NA
2015,1,"Laryngeal Cancer","White","incidenceRate",NA
2015,1,"Laryngeal Cancer","White","mortalityRate",NA
2015,1,"Leukemia","All Races","incidenceRate",NA
2015,1,"Leukemia","All Races","mortalityRate",NA
2015,1,"Leukemia","Native American","incidenceRate",NA
2015,1,"Leukemia","Native American","mortalityRate",NA
2015,1,"Leukemia","Asian","incidenceRate",NA
2015,1,"Leukemia","Asian","mortalityRate",NA
2015,1,"Leukemia","Black","incidenceRate",NA
2015,1,"Leukemia","Black","mortalityRate",NA
2015,1,"Leukemia","Hispanic","incidenceRate",NA
2015,1,"Leukemia","Hispanic","mortalityRate",NA
2015,1,"Leukemia","White","incidenceRate",NA
2015,1,"Leukemia","White","mortalityRate",NA
2015,1,"Liver Cancer","All Races","incidenceRate",NA
2015,1,"Liver Cancer","All Races","mortalityRate",NA
2015,1,"Liver Cancer","Native American","incidenceRate",NA
2015,1,"Liver Cancer","Native American","mortalityRate",NA
2015,1,"Liver Cancer","Asian","incidenceRate",NA
2015,1,"Liver Cancer","Asian","mortalityRate",NA
2015,1,"Liver Cancer","Black","incidenceRate",NA
2015,1,"Liver Cancer","Black","mortalityRate",NA
2015,1,"Liver Cancer","Hispanic","incidenceRate",NA
2015,1,"Liver Cancer","Hispanic","mortalityRate",NA
2015,1,"Liver Cancer","White","incidenceRate",NA
